id,company_name_kor,company_name_eng,homepage,company_description,products,products_description,category
164,주식회사 큐브인피닛,CUBEinfinate,https://cubeinfinatefoods.com/,"큐브인피닛은 2024년에 설립된 큐브 형태 젤리 전문 제조업체로, 비위생적인 젤리 생산 환경에 대한 우려를 해소하고자 안전하고 위생적인 제조 시스템을 갖춘 한국 내 생산 기반을 마련하였습니다. 경기도 화성시에 위치한 100평 규모의 자체 공장에서는 중소기업 최고 수준의 최신 설비를 도입하여 고품질 젤리 제품을 생산하고 있습니다.

정육면체 큐브 모양의 젤리 제품을 주력으로 하며, 현재 예비 수출기업으로서 해외 시장 진출을 준비 중입니다. 큐브인피닛은 소비자가 믿고 섭취할 수 있는 젤리를 통해 국내 젤리 시장에 새로운 기준을 제시하고자 합니다.",에너지업 젤리 쫄깅이,"비타민 C, 저분자피쉬콜라겐, 비타민A, 칼슘이 들어있는 젤리입니다.
비타민C와 비타민A의 경우, 1팩 섭취 시 각각 일일권장량을 충족하며 남녀노소 모두 간편하게 섭취가능한 큐브젤리형태로 제공됩니다.
*고객사 요청에 따라 함유량 조절이 가능합니다.","간식/스낵류 (과자류, 칩, 견과류, 캔디류, 전통간식, 건조간식, 안주류 외)"
165,(주)자숨,"jasoom.Co.,Ltd.",www.jasoom.com,"(주)자숨은 20년이상 오랜 노하우를 기반으로  단체급식용 세제 , 상업용세척기, 미생물 (발효)음식물처리기, 담금세척기 ,대형세척시스템까지 사업영역을 다각화하여 새로운 세척문화를 선도하는 토탈 솔루션을 제공하고 있습니다.",너코땡담금세척기,넣고-누르면-땡   대용량설거지 빠르고 간편하게 도와주는  담금세척기,"상업용 주방기기/설비 (상업용 식음료 조리기계/조리로봇, 냉장/냉동설비, 조리대, 살균기, 세척기, 포장기기 외)"
166,영농조합법인 팔공김치,PALGONGKIMCHI,8030kimchi.com,"팔공김치는 대한민국 대구에 위치한 김치 전문 식품 제조기업으로, 100% 국내산 농산물과 전통 제조 방식으로 정성껏 김치를 생산하고 있습니다. 위생적이고 안전한 생산설비에서 배추김치, 총각김치 등 다양한 제품을 제조하며, HACCP 및 HALAL 인증을 통해 국내는 물론 해외시장에서도 신뢰받는 프리미엄 김치를 제공합니다.",팔공산명품김치,"팔공산명품김치는 대구 팔공산 자락에서 국내산 재료만을 사용해 전통 방식으로 정성껏 담근 프리미엄 배추김치입니다. 깊고 깔끔한 감칠맛이 특징이며, HACCP 인증 시설에서 위생적으로 생산되어 안심하고 즐길 수 있습니다. 3kg부터 10kg까지 다양한 포장으로 가정용 및 선물용 모두 적합합니다.","반찬류 (김치류, 젓갈류, 장류, 김, 절임/무침 외)"
167,(재)전남창조경제혁신센터,-,https://ccei.creativekorea.or.kr/jeonnam/main.do,-,-,센터 보육기업 4개사 출품 예정,
168,주식회사 이립,"eleap Co,. Ltd.",https://smore-ohgodmallow.com/,"
주식회사 이립(Eleap Co., Ltd.)은 2016년 설립된 과자 전문 생산 기업으로, 국내 최초의 스모어 기반 디저트 브랜드인 ‘S’MORE Ohgodmallow(스모어 오갓멜로)’를 개발·출시하여 건강하고 색다른 간식을 선보이고 있습니다.
이립은 향후 마시멜로 전문 종합 식품 기업으로의 도약을 목표로 하고 있으며, 현재 자사 대표 제품인 스모어 오갓멜로를 코스트코 코리아에 직거래 방식으로 납품하고 있습니다. 또한, 일본·대만·중국 코스트코 지사와의 직거래 유통을 를 진행 중입니다.
고객 만족을 최우선 가치로 삼는 이립은, 소비자들이 이전에 경험하지 못한 새로운 제품을 개발하고, 고객 한 분 한 분이 미소 지을 수 있는 '한 입의 행복' 을 제공하기 위해 최선을 다하고 있습니다.
",S'more Ohgodmallow Crispy,Roasted Marshmallow cracker. ,"간식/스낵류 (과자류, 칩, 견과류, 캔디류, 전통간식, 건조간식, 안주류 외)"
169,한라식품,Halla Food Co.,https://hallafood.com/,"한라식품은 1999년에 설립하였으며, 국내 최초로 참치액(가다랑어 추출액)을 개발하여 생산해오고 있습니다. 대한민국 액상 조미료 시장의 명실상부한 선도기업이며, 꾸준히 고객의 사랑과 신뢰를 받는 기업으로 성장하고 있습니다. ",참치액,"훈연참치와 국내산 다시마, 무를 직접 추출해 배합한 액상소스로, 모든 원재료를 직접 가공, 생산하여 만든 참치액입니다. 요리의 간과 감칠맛을 한 번에 해결 가능한 소스입니다.","조미식품 (향신료, 분말/팩, 양념/소스, 페이스트, 오일, 식초 외)"
170,금용기계 (주),"KEUMYONG MACHINERY CO., LTD",http://www.keumyong.com/index,"금용기계는 혁신적인 하드웨어 아이디어를 가진 창업기업의 든든한 동반자이자, 아이디어를 현실로 만드는 데 특화된 하드웨어 엑셀러레이터입니다. 금용기계는 60여년의 섬유기계, 산업기계 등 제조 노하우를 통해 지난 5년간 다양한 아이템을 면밀히 검토하고, 그 중 10여 가지 아이템을 성공적으로 필드에 런칭시킨 경험과 독보적인 노하우를 보유하고 있습니다. 창업기업의 아이디어를 구체화하는 초기 단계부터, 효율적인 설계 및 개발을 통해 안정적인 양산에 이르기까지 전 과정을 지원합니다. 이는 단순한 제품 생산을 넘어, 시장에 효율적으로 제품을 공급하고 스타트업의 지속 가능한 성장을 가속화하는 데 기여합니다. 또한, 직간접 투자를 통해 스타트업의 사업 성장을 지원하며, 아이디어가 시장을 선도하는 제품으로 자리매김할 수 있도록 함께 비전을 만들어갑니다. 하드웨어 스타트업의 성공적인 도약을 위한 가장 확실한 파트너, 금용기계와 함께 당신의 혁신을 현실로 만들고 미래를 선점하세요.",미니 도넛 머신,"1인 요식업 창업가를 위한 도넛 자동화 기기로, 1인 가맹점 도넛 자동화 기기를 점진적으로 늘려가며,
자체 브랜드의 프랜차이즈화를 동시에 확보할 수 있는 도넛 자동화 기기입니다.

금용기계의 미니 도넛 자동화 기기는 반죽부터 튀김, 가루 토핑까지 전과정을 자동화하여 아래의 문제를 해결할 수 있는 제품입니다.

인건비 상승 압박: 전 세계적으로 인건비가 상승하면서 F&B 업계는 생산 효율성을 높이기 위해 자동화 도입을 적극적으로 검토하고 있습니다.
생산성 및 품질 향상 니즈: 자동화 기기는 일관된 품질의 제품을 대량으로 생산할 수 있게 하여 생산성을 높이고, 오류를 줄여 품질을 향상시킬 수 있습니다.
다양한 제품 생산 요구: 소비자들이 새로운 맛과 형태의 도넛을 지속적으로 요구함에 따라, 다양한 종류의 도넛을 효율적으로 생산할 수 있습니다.
외식 시장 경쟁 심화: QSR 및 기타 외식 업체들과의 경쟁이 심화되면서 도넛 브랜드들은 차별화된 전략과 함께 원가 절감 및 생산 최적화를 진행합니다.","상업용 주방기기/설비 (상업용 식음료 조리기계/조리로봇, 냉장/냉동설비, 조리대, 살균기, 세척기, 포장기기 외)"
171,농업회사법인 름이네 주식회사,REUMENE,https://pinkgarlic.co.kr/,"(주)름이네는 막내딸 '바름'이 이름에서 시작된 기업입니다. '바르게 자라라'는 아빠의 마음처럼, ""우리 아이들도 안심하고 먹는 건강하고 바른 먹거리""를 만들겠다는 약속을 담고 있습니다. '름'은 마늘의 'ㅁ'과 'ㄹ'에서 착안해, '마늘은 맵고 아리다'는 편견을 깬 (주)름이네만의 마늘 발효 식품 이야기를 의미합니다. 름이네는 독자적인 마늘 발효 기술로 매운맛과 향의 한계를 극복하고 기능성을 유지하며, 건강하고 지속 가능한 식문화를 제시합니다. 또한 지역 농가와의 상생을 통해 농촌 경제 활성화에 기여하고 사회적 책임을 다합니다.",갈릭시크릿 Garlic Secret,"갈릭시크릿 소스는 100% 국내산 마늘을 진짜 비정제 사탕수수당(미네랄슈가)에 자연 발효시켜 만든 건강한 소스입니다. 발효 과정을 통해 마늘 특유의 아린 맛과 매운맛은 줄어들고, 은은하고 깊은 단맛과 풍부한 감칠맛이 살아납니다. 김치 양념, 나물 초무침, 마른반찬, 생선조림 양념, 육류 요리 등 다양한 한식에 설탕이나 올리고당 대신 활용할 수 있습니다. 갈릭시크릿 소스만으로도 충분한 단맛을 내고 마늘을 발효시켜 만들었기 때문에 음식의 감칠맛과 풍미를 더 해 주어 따로 조미료를 넣지 않아도 됩니다.
특히, 한국비건인증원의 공식 비건 인증을 획득해서 식물성 원료만을 사용하는 분들도 안심하고 드실 수 있습니다. 저희만의 독자적인 마늘 효소 발효 기술 덕분에 발효 후에도 마늘의 핵심 기능성 성분인 알리신과 총 폴리페놀이 그대로 살아있습니다. 무방부제, 무색소, 무첨가물 원칙을 지켜 오직 자연의 건강함만을 담아냈습니다.
'갈릭시크릿'은 2024년 세계여성발명대회에서 금상 및 농림축산식품부장관상을 수상했고, 한국일보 주최 2025년 상반기 대한민국 우수특허 大賞에도 선정되어 혁신적인 기술력과 뛰어난 품질을 증명했습니다. '내 손으로 만드는 건강한 집밥'이라는 저희 름이네의 철학 아래, 갈릭시크릿 소스는 단순한 조미료를 넘어 건강한 식생활을 위한 라이프스타일 제품으로 자리매김하고 있습니다. ","일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
172,농업회사(주)가람솔,"garamsol agricltural Co.,Ltd",www.hangacho.com,"농업회사법인(주)가람솔
브랜드명; 항아초
법인설립; 2008년 7월",항아사과식초.항아솔잎식초.항아생강식초.항아허부식초.항아마시는솔잎초.고추식초,가람솔이 만드는항아초는 우리나라 고유의 전통항아리에서 자연발효 숙성하여 만들었습니다,"음료 (커피, 차, 주스, 탄산음료, 에너지 드링크, 이온음료 외)"
173,에프엠케이데어리(주),"FMK DAIRY CO.,LTD",https://www.fmkdairy.kr/,"멸균우유, 치즈 등 유제품을 수입, 유통합니다.",해피반 보코치니 모짜렐라,"신선함과 우유의 풍미를 느낄 수 있는 한 입 크기 후레쉬 모짜렐라
","디저트/베이커리 (케이크, 푸딩, 빵/제과류, 초콜릿, 요거트/유제품 외)"
174,(주)제이씨오르,JCOR,http://jcor.co.kr/,"한국과 홍콩에 본사를 둔 한국 화장품 및 식품 전문 공급망 회사입니다.
10년 이상 미국, 유럽, 중동, 러시아, 동남아시아의 파트너들에게 최고 수준의 한국 뷰티와 디바이스, 식품을 제공하고 있습니다.
JCOR은 2018년부터 체계적으로 관리되고 있는 유통망과 상품군을 활용하여
전세계 40여개국의 파트너와 함께 성장합니다.

",장터김치,"국내 대기업 브랜드인 CJ푸드및 삼성웰스토리.현대그린푸드의 김치류 OEM 생산업체인 (주)농일김치에서 상위 B2C 제품만
엄선하여 홍콩 HKTV-MALL에 첫 런칭과 동시에 선풍적인 인기몰이중인 ""장터김치""라는 브랜드로 파트너사및 일반 소매 영업판매중입니다.","수입 일반 가공식품 (수입 캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
175,세준푸드농업회사법인(주),"Sejunfood.Co.,Ltd",www.sejunfood.co.kr,1989년설립이후 대한 민국 전통음료 식혜를 전통방식으로 만들어온 세준푸드는 대한민국 전통음료로 정부로 부터 인증받아 K-리본 마크를 수령하였으며 해외시장으로도 진출하고 있다. 특히 모든 원료가 국내산으로 자체적으로 재배하는 쌀로 만든 식혜는 국내 리테일은 물론 해외 리테일에도 납품되고 있으며 진정한 K-FOOD의 공급사로서 그 시장을 넓혀 나가고 있습니다,하늘청 오리지널 식혜,1989년 설립이후 한국전통 음료 식혜의 명인으로 지정된 세준푸드는 순수 국산 원료로 만든 하늘청 식혜 제품을 출시 및 국내외 시장에 공급하여 밥알없는 식혜 및 유기농제품까지 확대 개발하여 해외시장에서 최근 상당한 반응을 일으키고 있으며 급식 산업에도 크게 기여하고 있습니다. 특히 직접 재배한 쌀로 만든 식혜는 고집스런 전통방식으로 만든 프리미엄 식혜로서 그 가치를 더해 가고 있습니다.,"일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
176,샤인프레시,shinefresh,shinefresh.co.kr,"샤인프레시는 경북 상주 샤인머스캣 100%원물만을 담은 프리미엄 가공식품을 지향하는 로컬푸드브랜드입니다. 
과잉출하로 인한 샤인머스캣의 문제점을 해결하고자 첨가물없는 100% 원액베이스의 프리미엄 가공식품으로 재탄생시켜 건강에 이로운 가치를 전달하고 있습니다. 
주요제품으로는 100% 샤인머스캣 샤인머스캣 착즙주스, 스파클링주스, 발사믹비네거2종을 판매하고 있습니다.",그라데볼레 샤인발사믹 식초,"샤인머스캣의 달콤함과 우아한 풍미를 그대로 담은 발사믹 비네거
원산지: 경북 상주 샤인머스캣  100%
함량: 54.5% 샤인머스캣 발효식초, 45.% 샤인머스캣 농축액 
에이드, 음용, 해산물, 샐러드, 디저트, 요리용,샌드위치소스 
총산도: 4%이상
25년 우수문화상품 선정 -샤인발사믹화이트 (문화체육관광부 지정)","조미식품 (향신료, 분말/팩, 양념/소스, 페이스트, 오일, 식초 외)"
177,윈비어,WINBEER,www.oliva.co.kr,"유럽 크래프트맥주, 내추럴와인, 올리브오일 고메 식품 수입사 ",마르푸가 엑스트라버진 올리브오일,이탈리아 프리미엄 엑스트라버진 올리브오일,"수입 조미식품 (수입 향신료, 분말/팩, 양념/소스, 페이스트, 오일, 식초 외)"
178,(주)강원심층수,GangWon Deep Sea Water,https://gwdeepseawater.co.kr/,"(주)강원심층수는 대한민국 강원도 동해 해역의 605m 청정 해양심층수를 활용하여 건강한 식음료 및 생활제품을 개발·제조하는 전문기업입니다. 국내 최초의 해양심층수 취수·제조 통합시설을 갖추고 있으며, 먹는해양심층수, 김치, 소금, 화장품 등 다양한 제품을 생산하고 있습니다.",천년동안,"605m 해양심층수로 만든 먹는해양심층수
청정한 동해 심층수의 미네랄 밸런스를 그대로 담아낸
프리미엄 기능성 생수, ‘천년동안 먹는해양심층수’는
수분 보충은 물론, 건강한 라이프스타일을 위한 최적의 선택입니다.","음료 (커피, 차, 주스, 탄산음료, 에너지 드링크, 이온음료 외)"
179,재단법인제천한방천연물산업진흥재단,Jecheon Korean medicine bio Promotion Foundation,https://www.jc-mall.com/,"참고사항 : 재단에서는 참가신청만 합니다.

추후 기업4곳에서 참가계획입니다.    기업이 확정되는대로 신청하겠습니다.

기업간판은  아래 첨부된 자연치유도시 제천  로고를 공동사용 합니다.",한방천연물제품,한방천연물기업 생산물품,"건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
180,정읍시농업기술센터,JeongEup-Si,www.jeongeup.go.kr/agri/index.jeongeup,정읍시농업기술센터,프리바이오틱스 딸기잼,"무설탕, 무첨가, 국내산 딸기를 사용한 건강한 잼","일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
181,영농조합법인미르,Mir Agricultural Cooperative Corporation,p1021108@hanmail.net,본 영농조합법인은  완주의 농산물을 활용하여 모주 및 누룽지 육포를 만들어 판매하는 업체임,모주,"완주에서 생산되는 생강, 대추, 막걸리 등을 사용하여 개발된 모주향기를 홍보하고자 함","간편식품 (HMR/RMR, 밀키트, 즉석식품, 레토르트 외)"
182,주식회사 미류가,Miryooga Inc,www.ykprofessional.co.kr,"유한킴벌리 프로페셔널은 위생용품, 산업용품, 헬스케어 분야에서 국내 No.1 브랜드로서의 입지를 확고히 하고 있습니다. 약 40년 이상의 사업 운영 경험과 전국 영업망, 일일 배송 시스템을 기반으로 병원, 공공기관, 제조업체 등 다양한 산업 고객에게 맞춤형 제품과 서비스를 제공합니다. 지속가능한 소재 개발과 ESG 기반의 가치사슬 혁신을 통해 고객의 안전과 환경을 함께 고려한 Total Solution을 제공합니다.",와이프올 크리티컬클린 X80 푸드서비스 와이퍼,"와이프올 크리티컬클린 X80 푸드서비스 와이퍼는 식품 접촉이 가능한 위생용 키친타월로, 젖었을 때도 찢어지지 않고 식재료에 묻어나지 않는 높은 강도를 자랑합니다. 부드러운 하이드로닛 원단으로 제작되어 흡수력과 흡유력이 뛰어나며, 식재료 물기 제거, 육류 핏물 흡수, 조리기구 닦기 등 다양한 푸드서비스 환경에 적합합니다.","가정용 주방용품 (가정용 냄비/프라이팬, 조리도구류, 주방잡화, 주방 수납용품 외) "
183,한국다이카텍(주),"Daikatech Korea Co.,Ltd.",http://www.k-chef.kr/,"K-CHEF는 사용자 안전과 최고의 맛을 최우선으로 생각하는 스마트 조리기기 전문 기업입니다.
우리는 한국 라면을 가장 안전하고 맛있게 즐길 수 있는 방법을 끊임없이 연구하며, 모든 제품에 우리의 철학과 기술을 담아내고 있습니다. K-CHEF는 단순한 조리기기를 넘어, 라면 문화의 새로운 기준을 만들어가는 브랜드입니다.
",라면조리기 (Easy Cooking Appliance),직수 순간 가열방식을 채택하여 물을 공급하는 바코드 인식 방식의 라면조리기 입니다.,"상업용 주방기기/설비 (상업용 식음료 조리기계/조리로봇, 냉장/냉동설비, 조리대, 살균기, 세척기, 포장기기 외)"
184,(주)마이크로바이옴,Microbiome Inc,www.microbiomekorea.com,"㈜마이크로바이옴의 주력 사업으로는 유산균, 유산균대사산물을 이용한 건강기능식품 및 일 마이크로바이옴 화장품 원료, 마이크로바이옴 탈취제, 마이크로바이옴 비료 등 마이크로바이옴을 이용한 다양한 제품들을 개발 및 판매하고 있습니다 반가공식품 원료 및 완제품의 제조 및 판매를 하고 있으며, 이들 제품에 대한 OEM/ODM도 진행하고 있습니다. ",글루텐분해유산균,"유산균 원료 분말, 유산균대사산물 원료 분말, 유산균 및 유산균 대사산물 가공식품, 마이크로바이옴 비료, 마이크로바이옴 탈취제 등.","건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
185,(주)대진엔터프라이즈,"Daijin Enterprise Co., Ltd",https://www.daijin-ent.co.kr/,"㈜대진엔터프라이즈는 1981년 설립 이래 국산 트롤리 및 웨건의 선두주자로 출발하여, HORECA 산업 전반에 걸친 다양한 전문 장비(차핑디쉬, 양식기, 할로웨어 등)를 자체 개발·제조 및 수입 유통하고 있습니다. 기업 부설 연구소와 국내외 디자이너와의 협업을 통해 글로벌 스탠다드에 부합하는 제품을 국내외 호텔 및 리조트에 공급하고 있으며, 세계 45개국 이상에 수출 중입니다. 1996년 설립한 자회사 타이거(Tiger)를 통해 뷔페 전문 브랜드로 자리매김하였고, 중국·미국·이탈리아 현지 법인을 운영하며 해외 시장 확대에 박차를 가하고 있습니다. 앞으로도 지속적인 제품개발과 품질 향상으로 고객에게 최고의 가치를 제공하겠습니다.",모바일 히티드 방켓 카트 ,"핫 캐비닛은 조리된 음식을 따뜻하게 보온·보관할 수 있도록 설계된 스테인리스 보온장비입니다. 도어형 구조로, 내부에는 팬이나 트레이를 직접 삽입할 수 있으며, 열선을 활용해 균일한 온도 유지를 지원합니다. 롤인 팬 카트와 연동 가능한 모델도 제공되어 대량 식음 서비스 환경에 적합합니다. 호텔, 리조트, 연회장 등 다양한 현장에서 식품의 품질 유지를 위한 필수 아이템으로 활용되고 있습니다.","홀서빙 솔루션 (스마트오더/키오스크, 서빙로봇, 셀프바/배식대, 식기/커틀러리, 배달/무인매장설비 외)"
186,(주)아이디씨솔루션,"IDC SOLUTION CO., LTD.",www.abf.co.uk,"맥아 Extract를 생산하는 제조업체인 Shanghai AB Food & Beverages Ltd.는 3천만 달러 이상의 투자를 유치한 외국인 투자 기업으로 연구, 생산, 응용 제품 개발에 최선을 다하고 있습니다. 우리는 천연 보리와 맥아를 원료로 사용하여 다양한 종류의 맥아 Extract를 생산하고 있으며, AB Malt Extract 브랜드의 맥아 Extract와 유제품, 베이커리, 음료, 쿠키 등 다양한 종류의 ""Ovaltine"" 브랜드 관련 제품을 생산하고 있습니다.  맥아 Extract는 특히 맥주 등 주류 산업의 중요 원재료 로서의 활용성이 기대되고 있습니다.",맥아 추출물 파우더 (Dried Malt Extract),"천연 보리와 맥아를 원료로 사용하여 다양한 종류의 맥아 추출물을 생산하고 있습니다.  AB Malt Extract 브랜드의 맥아 추출물은 유제품, 베이커리, 음료, 쿠키, 맥주 등 다양한 종류의 제품에 응용되고 있습니다.","수입 조미식품 (수입 향신료, 분말/팩, 양념/소스, 페이스트, 오일, 식초 외)"
187,부평마을영농조합,Bupyeong village farming association,https://xn--hz2b11el8ki4m.com/,"부평마을영농조합은 완주 지역에서 생산되는 농산물을 활용해 전통장류와 참기름, 들기름, 고추장 소스를 제조하는 기업입니다. 부평마을영농조합은 2012년 행정안전부로부터 지정 받은 마을기업입니다.",완주부평청국장,완주지역에서 생산된는 대두를 활용해 전통방식으로 발효한 저염 청국장,"반찬류 (김치류, 젓갈류, 장류, 김, 절임/무침 외)"
188,주식회사바비랩,vavylab,https://smartstore.naver.com/vavylab,"""전통의 가치를 트렌디하게, 믿을 수 있는 음료 파우더를 개발하는 바비랩입니다.""
요리사로 시작하여 디저트, 음료 개발까지 20여년 요식업을 하며 전통적인 K-푸드를 어떻게 현대화 할 수 있을까 끊임없이 연구하였습니다. 로컬 식자재를 최대한 활용하여 한국인에게 친숙하면서 새로운 트렌드를 더한 음료를 개발합니다. ","콩으로 만든 식물성 밀크티, 두티","국내산 쌀, 콩, 율무와 옥수수 가루를 주재료로 콩 특유의 비린내를 없애기 위해 한국인들에게 친숙한 율무를 사용하고, 
우유 대신 식물성 단백질을 활용하여 우유와 같은 부드럽고 고소함을 느낄 수 있도록 개발한 제품 ","대체식품/그린바이오 (대체식품/원료, 메디푸드, 지속가능 식품, 특수기능/가공/포장식품, R&D연구개발 외)"
189,아카이브에이트,Archive8,https://smartstore.naver.com/easypureezy,"archive8는 즐거운 맛과 추억의 무한한 수집을 모토로,
기록하고 싶은 식탁을 제안하는 식품 브랜드입니다.
첫 제품 <편하다 퓨레>는 일상에 스며드는 특별한 맛을 위해
재료 본연의 풍미를 살리고, 어울리는 레시피를 더했습니다.
맛과 영양이 듬뿍 담긴 한스푼을 통해,
우리의 일상 속 식사가 더 편하고, 즐겁고, 소중하길 바랍니다. ",편하다 퓨레 / easy pureezy,"농산물(지역 및 제철 채소, 견과류 등)을 활용한 ‘미식용, 일반 식사용 퓨레’ ","조미식품 (향신료, 분말/팩, 양념/소스, 페이스트, 오일, 식초 외)"
190,씨지에프주식회사,"CGF CO., LTD.",https://bbomtopokki.com/,"씨지에프(주)는 K-푸드의 글로벌화를 선도하는 식문화 전문 기업으로, 단순한 제품 수출을 넘어 한국 고유의 식문화를 세계에 전달하는 것을 핵심 가치로 삼고 있습니다. 당사는 브랜딩, 콘텐츠, 현지화 전략을 유기적으로 결합하여, 각국 소비자들에게 한국 음식이 지닌 깊이와 감성을 경험할 수 있도록 다양한 방식으로 접근하고 있습니다.

씨지에프(주)의 가장 큰 강점은 철저한 현지화 전략에 있습니다. 각 시장의 소비자 라이프스타일과 미각 트렌드, 유통 구조, 법·제도적 환경을 다각도로 분석하고, 이를 기반으로 현지에 최적화된 제품 기획 및 생산을 추진합니다. 더불어 한국 음식이 지닌 문화적 배경과 스토리를 결합한 마케팅 콘텐츠를 통해, 단순한 ‘음식’ 그 이상의 가치를 전달하고 있습니다.

대표 제품군으로는 한국을 대표하는 K-푸드인 떡볶이를 중심으로, 프리미엄 라인업 및 다양한 퓨전 제품들이 있으며, 각국의 식문화와 조화를 이룰 수 있는 방향으로 확장을 지속하고 있습니다. 이를 통해 글로벌 시장에서 브랜드의 경쟁력과 지속 가능성을 동시에 강화하고자 합니다.

씨지에프(주)는 글로벌 파트너들과의 전략적 협력을 통해 공동 제품 개발(Co-Development), 브랜드 현지화, 유통 채널 확장을 실현하고 있으며, 단기적 성과보다는 장기적 관점에서 상호 시너지를 낼 수 있는 파트너십 구축을 지향합니다.

K-푸드에 대한 세계적 관심이 높아지는 흐름 속에서, 씨지에프(주)는 다양한 국가의 고객들에게 새로운 브랜드 경험과 가치를 제공하며, 한국 식문화의 세계화에 앞장서 나가고 있습니다.",뽐 떡볶이,"당사에서 수출을 준비 중인 봉지떡볶이는 간편성과 휴대성을 극대화한 형태로, 일반적인 라면처럼 '뜯어 쓰는' 구조로 설계된 제품입니다. 바쁜 일상 속에서도 손쉽게 조리할 수 있는 이점 덕분에 다양한 소비자층에게 어필할 수 있으며, 특히 간편식을 선호하는 해외 시장에서 경쟁력이 높습니다.

제품 패키지에는 기능성과 안전성을 고려한 고급 소재가 사용되었습니다. 내부에 은박을 적용한 포장은 습기와 빛에 대한 차단 효과가 뛰어나 제품의 품질을 장기간 유지할 수 있도록 돕습니다. 이는 장거리 운송이 불가피한 해외 수출 환경에서 특히 중요한 요소로, 제품의 신선도와 맛을 그대로 유지할 수 있는 큰 장점으로 작용합니다.

또한 봉지떡볶이는 기존 유사 제품들과의 차별화를 위해 독창적인 디자인 전략을 도입하였습니다. 라면을 연상시키는 형태와 감각적인 비주얼을 강조한 패키지는 소비자의 시선을 사로잡으며, 유통 매장에서의 주목도를 높입니다. 이는 단순한 포장재를 넘어 브랜드 이미지와 마케팅 전략의 핵심 요소로 활용될 수 있습니다.

이처럼 당사의 봉지떡볶이는 실용성과 심미성을 모두 갖춘 차세대 간편식으로, 글로벌 시장에서도 충분한 경쟁력을 지닌 제품입니다.","간편식품 (HMR/RMR, 밀키트, 즉석식품, 레토르트 외)"
191,주식회사 티아그로즈,"T-Agros Co., Ltd.",www.ohsoybean.com,"(주)티아그로즈는 친환경 애그테크(Ag-Tech)기반의 기능성 식품 및 원료를 개발, 공급합니다.
(주)티아그로즈는 Non-GMO를 기반으로 한 독보적 품종(호심콩, 오소이콩) 개량 및 양산능력을 보유하고 있습니다.
실용성 높은 우수한 콩품종을 개발하여 산업화를 통해 국민건강과 사회에 기여하기 위해 설립된 경북대학교 교원창업기업/경북대학교 기술지주(주)자회사 법인입니다.
(주)티아그로즈 제품으로는 
- 호심콩(고올레산 콩)을 이용한 제품군 : 호심콩두유, 호심콩죽3종(콩죽, 단팥콩죽, 호박콩죽)
- 오소이콩(오메가3가 풍부한 콩)을 이용한 제품군 : 오소이프로틴두유, 발효콩 ",호심콩콩물두유,"오메가9이 풍부한 호심콩콩물두유
- 콜레스테롤 관리와 혈관 건강에 도움을 주는 담백한 우유
- 고혈압과 심장질환을 고민하는 중장년층
- 첨가물 없이 건강한 라이프스타일을 추구하는 젊은 층","케어푸드 (고령친화식품, 환자식, 요양식, 특수영양식 외)"
192,인바이오메드,IN  BIO  MED,https://smartstore.naver.com/inbiomed1,"ㆍ 브랜드명 : By-ogoo ogoo (바이-오구오구) ㆍ 브랜드 철학 : 단순 간식이 아닌 ‘기능성 건강식품’ ㆍ 브랜드 스토리 
 “구강질환으로 고생하는 반려견을 위한 과학적 해결책”
랩인바이오는 천연물질에 대한 과학적 데이터를 바탕으로, 반려동물의 치아 및 치주 질환 예방과 구강 위생 관리에도 연구를 확대 적용하고 제품을 개발해야 할 필요성을 절감하게 되었습니다.
연구결과를 기반으로 반려동물의 삶의 질을 향상시키는 기능성건강식품 , 바이오구오구는 그렇게 탄생했습니다.",덴티가드케어,"ㆍ 타입 : 멜팅형, 장시간 씹는 타입 ㆍ 기능 : 치석 제거 / 구취 억제 / 잇몸 케어 ㆍ 용량 : 660g (22g X 30개입)
ㆍ 규격 : 패키지 - W 170mm H 205mm D 90mm 개별 - W 60mm H 15mm D 20mm
ㆍ 핵심성분 : 프로폴리스, 헥사메타인산염, 패각칼슘",
193,무릉도원영농조합법인,PARADISE farming association coporation,https://smartstore.naver.com/balgrepeach,저희 무릉도원영농조합법인은 지속가능한 성장과 지역 사회 가치 창출을 목표로 '함께 꿈꾸고 함께 이루는 우리'라는 비전을 가진 복숭아전문 가공업체 입니다.,발그레 복숭아 파우치,4계절 간단하게 즐길수 있는 원물 복숭아 간식,"일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
194,그레인 앤 글로우,Grain & Glow,https://smartstore.naver.com/sulyuhwa_,"곡물속에서 빛나는 '그레인 앤 글로우, 입니다.
곡물들을 활용하여 믿을 수 있는 디저트를 만들어갑니다.",그레인크런키,귀리로만든 시트위에 각종 견과류를 올린 바삭한 곡물영양바,"건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
